city	city_name	city_state	polX	polY	eff
ODE	Odessa	UKR	335,9561	356,1191	34
IAS	Iasi	ROU	331,5112	355,1113	33
NKC	Nouakchott	MRT	258,6328	297,9922	33
RTM	Rotterdam	NLD	300,4663	355,0894	33
KGL	Kigali	RWA	379,499	278,9897	32
OXB	Bissau	GNB	256,4209	286,8086	32
SXB	Strasbourg	FRA	304,9429	348,9624	32
DAL	Dallas	USA	190,4678	437,4277	31
HRE	Harare	ZWE	396,9814	255,6357	31
KRK	Krakow	POL	320,0845	355,874	31
ALY	Alexandria	EGY	348,959	331,3306	30
FEZ	Fez	MAR	286,0381	322,4731	30
PNH	Phnom Penh	KHM	434,1782	462,0781	30
STR	Stuttgart	DEU	307,1099	350,0713	30
HOL	Hollywood	USA	204,4941	473,7866	29
LFW	Lome	TGO	298,2988	271,083	29
MNL	Manila	PHL	413,7266	496,271	29
SAN2	San Diego	USA	201,2637	473,0854	29
NGO	Nagoya	JPN	363,9106	498,6914	28
LAU	Lausanne	CHE	304,2446	345,4907	26
OXF	Oxford	GBR	293,4561	354,5801	26
PMO	Palermo	ITA	317,0596	332,126	26
RGN	Rangoon	MMR	428,6846	439,4048	26
TPE	Taipei	TWN	396,6567	487,4414	26
VLA	Vladivostok	RUS	359,1826	482,6357	26
LIL	Lille	FRA	298,873	352,6182	25
NAG	Nagasaki	JPN	375,7983	492,5044	25
ASK	Yamoussoukro	CIV	280,9419	272,9595	24
KIR	Kirkouk	IRQ	365,1763	353,3262	24
MFM	Macao	MAC	409,2241	474,7876	24
PER	Perth	AUS	496,1523	522,4946	24
COO	Cotonou	BEN	301,3521	271,624	23
KDH	Kandahar	AFG	392,9199	380,9141	23
KIN1	Kingston	JAM	166,2202	394,7759	23
ALA	Almaty	KAZ	378,8003	405,5186	22
TCH	Tchernobyl	UKR	330,916	363,3901	22
ASB	Ashkhabad	TKM	376,5449	374,7944	21
AYT	Antalya	TUR	344,8047	340,1777	21
FRU	Bishkek	KGZ	378,6221	401,9478	21
ORL	Orlando	USA	183,2808	408,0625	21
BJL	Banjul	GMB	254,8901	290,2744	20
RAI	Praia	CPV	239,9707	298,5698	20
TNR	Antananarivo	MDG	442,2954	290,1782	20
AGP	Malaga	ESP	287,4463	327,2754	19
ARB	Arbil	IRQ	363,7944	353,8013	19
BNE	Brisbane	AUS	392,6382	616,8745	19
MAA2	Maastricht	NLD	302,1445	353,2603	19
BAN	Bangalore	IND	433,1494	394,6118	18
DIL	Dili	TLS	442,0327	530,1899	18
DUR	Durban	ZAF	408,2314	236,7354	18
ISM	Mosul	IRQ	362,499	352,9624	18
CUN	Cancun	MEX	168,6362	417,2715	17
DOH	Doha	QAT	388,1162	350,9785	17
DRS	Dresden	DEU	312	355,3169	17
GOT	Goteborg	SWE	307,3594	366,7866	17
MAA1	Chennai	IND	434,249	401,0718	17
VTE	Vientiane	LAO	424,1392	453,9004	17
GRE	Grenade	ESP	288,9014	328,0127	16
HAR	Harbin	CHN	360,3491	473,6079	16
LJU	Ljubljana	SVN	315,2651	346,6748	16
PEW	Peshawar	PAK	392,6006	392,1538	16
CAM	Cambridge	USA	212,0737	396,6172	15
CWL	Cardiff	GBR	290,8584	354,0366	15
DUS	Dusseldorf	DEU	303,0659	353,876	15
JIA	Jiamusi	CHN	352,4858	477,6968	15
JIB	Djibouti	DJI	393,4604	319,9512	15
MCT	Muscat	OMN	399,1279	361,4209	15
MON2	Monrovia	LBR	266,2192	274,0854	15
NTE	Nantes	FRA	292,8604	346,2637	15
BRU2	Bruges	BEL	299,019	353,6792	14
CAL	Calabar	NGA	317,5708	270,5532	14
CLU	Cluj-Napoca	ROU	326,8564	352,083	14
GNB	Grenoble	FRA	303,2368	342,9351	14
GOI	Goa	IND	426,6309	386,8325	14
KLA	Kampala	UGA	383,5967	286,3208	14
LEO	Leon	NIC	152,7773	417,2319	14
SKG	Thessaloniki	GRC	330,4102	341,3545	14
SOW	Soweto	ZAF	394,6108	236,6006	14
SZG	Salzburg	AUT	312,6494	348,7334	14
VAR	Varna	BGR	335,187	348,8755	14
AMM	Amman	JOR	357,6582	338,5864	13
BGO	Bergen	NOR	300,0703	370,6743	13
BHX	Birmingham	GBR	293,1826	355,5928	13
BOL	Bologne	ITA	311,4795	342,8755	13
MLE	Male	MDV	446,0391	380,2915	13
SAI2	Saint-Tropez	FRA	304,9463	339,5698	13
YAO	Yaounde	CMR	326,5557	270,1162	13
CAN2	Cannes	FRA	305,4346	340,147	12
MIX	Mixco	GTM	156,5908	426,4492	12
PUS	Pusan	KOR	373,2813	488,5625	12
TSK	Tskhinvali	GEO	356,0376	361,7124	12
BAH	Bahrain	BHR	385,4185	350,1729	11
BEL	Balti	MDA	331,4102	356,271	11
BFS	Belfast	GBR	288,6494	359,644	11
BON1	Bonn	DEU	303,9331	353,2441	11
BRA	Brasov	ROU	330,2852	351,3896	11
BSL	Basel	CHE	304,832	347,2822	11
CAT	Catane	ITA	320,1401	331,748	11
DEN1	Denver	USA	205,6626	448,9121	11
